ISO,Year,Item,RDi
AFG,2015,Cherries,0.0
AFG,2015,"Cherries, sour",0.0
AFG,2015,Chestnut,0.0
AFG,2015,Chick peas,0.0
AFG,2015,Chicory roots,0.0
AFG,2015,"Chillies and peppers, dry",0.0
AFG,2015,"Chillies and peppers, green",0.0
AFG,2015,Cinnamon (cannella),0.0
AFG,2015,Cloves,0.0
AFG,2015,"Cocoa, beans",0.0
AFG,2015,Coconuts,0.0
AFG,2015,"Coffee, green",0.0
AFG,2015,Cucumbers and gherkins,0.0
AFG,2015,Dates,0.0
AFG,2015,Eggplants (aubergines),0.0
AFG,2015,"Eggs, hen, in shell",0.28500000000000003
AFG,2015,"Eggs, other bird, in shell",0.0
AFG,2015,"Fat, camels",0.0
AFG,2015,"Fat, cattle",0.0
AFG,2015,"Fat, goats",0.0
AFG,2015,"Fat, sheep",0.0
AFG,2015,Figs,0.0
AFG,2015,"Fruit, citrus nes",0.0
AFG,2015,"Fruit, fresh nes",0.0
AFG,2015,"Fruit, stone nes",0.0
AFG,2015,"Fruit, tropical fresh nes",0.0
AFG,2015,Garlic,0.0
AFG,2015,Ginger,0.0
AFG,2015,Grapefruit (inc. pomelos),0.0
AFG,2015,Grapes,0.0
AFG,2015,"Groundnuts, with shell",-0.227
AFG,2015,"Hazelnuts, with shell",0.0
AFG,2015,Hempseed,0.0
AFG,2015,"Honey, natural",0.0
AFG,2015,Kiwi fruit,0.0
AFG,2015,"Leeks, other alliaceous vegetables",0.0
AFG,2015,Lemons and limes,0.0
AFG,2015,Lentils,-8.524000000000001
AFG,2015,Lettuce and chicory,0.0
AFG,2015,Linseed,0.0
AFG,2015,Maize,0.001
AFG,2015,"Maize, green",0.0
AFG,2015,"Mangoes, mangosteens, guavas",0.0
AFG,2015,Meat nes,0.0
AFG,2015,"Meat, buffalo",0.0
AFG,2015,"Meat, camel",0.0
AFG,2015,"Meat, cattle",0.0
AFG,2015,"Meat, chicken",0.0
AFG,2015,"Meat, duck",0.0
AFG,2015,"Meat, game",0.0
AFG,2015,"Meat, goat",0.0
AFG,2015,"Meat, goose and guinea fowl",0.0
AFG,2015,"Meat, pig",0.0
AFG,2015,"Meat, rabbit",0.0
AFG,2015,"Meat, sheep",0.0
AFG,2015,"Meat, turkey",0.0
AFG,2015,"Melons, other (inc.cantaloupes)",0.0
AFG,2015,Melonseed,-2.528
AFG,2015,"Milk, whole fresh camel",0.0
AFG,2015,"Milk, whole fresh cow",0.0
AFG,2015,"Milk, whole fresh goat",0.0
AFG,2015,"Milk, whole fresh sheep",0.0
AFG,2015,Millet,0.0
AFG,2015,Mushrooms and truffles,0.0
AFG,2015,Mustard seed,0.0
AFG,2015,"Nutmeg, mace and cardamoms",0.0
AFG,2015,Nuts nes,-0.043000000000000003
AFG,2015,Oats,0.0
AFG,2015,Offals nes,0.0
AFG,2015,"Offals, edible, camels",0.0
AFG,2015,"Offals, edible, cattle",0.0
AFG,2015,"Offals, edible, goats",0.0
AFG,2015,"Offals, liver chicken",0.0
AFG,2015,"Offals, liver geese",0.0
AFG,2015,"Offals, liver turkeys",0.0
AFG,2015,"Offals, pigs, edible",0.0
AFG,2015,"Offals, sheep,edible",0.0
AFG,2015,Oilseeds nes,0.0
AFG,2015,Olives,0.0
AFG,2015,"Onions, dry",0.0
AFG,2015,Oranges,0.0
AFG,2015,Papayas,0.0
AFG,2015,Peaches and nectarines,0.0
AFG,2015,Pears,0.0
AFG,2015,"Peas, dry",0.0
AFG,2015,"Peas, green",0.0
AFG,2015,Pepper (piper spp.),0.0
AFG,2015,Persimmons,0.0
AFG,2015,Pigeon peas,-0.336
AFG,2015,Pineapples,0.0
AFG,2015,Pistachios,0.0
AFG,2015,Plantains and others,0.0
AFG,2015,Plums and sloes,0.0
AFG,2015,Poppy seed,-0.01
AFG,2015,Potatoes,0.0
AFG,2015,Pulses nes,0.0
AFG,2015,"Pumpkins, squash and gourds",0.0
AFG,2015,Quinces,0.0
AFG,2015,Quinoa,0.0
AFG,2015,Rapeseed,0.0
AFG,2015,Raspberries,0.0
AFG,2015,"Rice, paddy",0.0
AFG,2015,Roots and tubers nes,-0.011
AFG,2015,Rye,0.0
AFG,2015,Safflower seed,0.0
AFG,2015,Sesame seed,0.0
AFG,2015,Sorghum,0.0
AFG,2015,Soybeans,0.0
AFG,2015,Spices nes,0.0
AFG,2015,Spinach,0.0
AFG,2015,Strawberries,0.0
AFG,2015,Sugar beet,0.0
AFG,2015,Sugar cane,0.0
AFG,2015,Sunflower seed,0.0
AFG,2015,Sweet corn frozen,0.0
AFG,2015,Sweet corn prep or preserved,0.0
AFG,2015,Sweet potatoes,0.0
AFG,2015,"Tangerines, mandarins, clementines, satsumas",0.0
AFG,2015,Taro (cocoyam),0.0
AFG,2015,Tea,0.0
AFG,2015,Tomatoes,0.0
AFG,2015,"Vegetables, fresh nes",0.0
AFG,2015,"Vegetables, leguminous nes",0.0
AFG,2015,"Walnuts, with shell",0.0
AFG,2015,Watermelons,0.0
AFG,2015,Wheat,0.0
AFG,2015,Yams,-0.006
AFG,2016,"Almonds, with shell",0.0
AFG,2016,"Anise, badian, fennel, coriander",0.0
AFG,2016,Apples,0.0
AFG,2016,Apricots,0.0
AFG,2016,Areca nuts,0.0
AFG,2016,Artichokes,0.0
AFG,2016,Asparagus,0.0
AFG,2016,Avocados,0.0
AFG,2016,Bananas,0.0
AFG,2016,Barley,-28.37
AFG,2016,"Beans, dry",-15.98
AFG,2016,"Beans, green",0.0
AFG,2016,Berries nes,0.0
AFG,2016,"Brazil nuts, with shell",-0.024
AFG,2016,"Broad beans, horse beans, dry",0.0
AFG,2016,Buckwheat,0.0
AFG,2016,Cabbages and other brassicas,0.0
AFG,2016,Canary seed,0.0
AFG,2016,Carrots and turnips,0.0
AFG,2016,"Cashew nuts, with shell",-0.001
AFG,2016,Castor oil seed,0.0
AFG,2016,Cauliflowers and broccoli,0.0
AFG,2016,Cereals nes,0.0
AFG,2016,Cherries,0.0
AFG,2016,"Cherries, sour",0.0
AFG,2016,Chestnut,-0.001
AFG,2016,Chick peas,0.0
AFG,2016,Chicory roots,0.0
AFG,2016,"Chillies and peppers, dry",0.0
AFG,2016,"Chillies and peppers, green",0.0
AFG,2016,Cinnamon (cannella),0.0
AFG,2016,Cloves,0.0
AFG,2016,"Cocoa, beans",0.0
AFG,2016,Coconuts,0.0
AFG,2016,"Coffee, green",0.0
AFG,2016,Cucumbers and gherkins,0.0
AFG,2016,Dates,0.0
AFG,2016,Eggplants (aubergines),0.0
AFG,2016,"Eggs, hen, in shell",0.47200000000000003
AFG,2016,"Eggs, other bird, in shell",0.0
AFG,2016,"Fat, camels",0.0
AFG,2016,"Fat, cattle",0.0
AFG,2016,"Fat, goats",0.0
AFG,2016,"Fat, sheep",0.0
AFG,2016,Figs,0.0
AFG,2016,"Fruit, citrus nes",0.0
AFG,2016,"Fruit, fresh nes",0.0
AFG,2016,"Fruit, stone nes",0.0
AFG,2016,"Fruit, tropical fresh nes",0.0
AFG,2016,Garlic,0.0
AFG,2016,Ginger,0.0
AFG,2016,Grapefruit (inc. pomelos),0.0
AFG,2016,Grapes,0.0
AFG,2016,"Groundnuts, with shell",0.0
AFG,2016,"Hazelnuts, with shell",0.0
AFG,2016,Hempseed,0.0
AFG,2016,"Honey, natural",0.0
AFG,2016,Kiwi fruit,0.0
AFG,2016,"Leeks, other alliaceous vegetables",0.0
AFG,2016,Lemons and limes,0.0
AFG,2016,Lentils,-4.595
AFG,2016,Lettuce and chicory,0.0
AFG,2016,Linseed,0.0
AFG,2016,Maize,0.0
AFG,2016,"Maize, green",0.0
AFG,2016,"Mangoes, mangosteens, guavas",0.0
AFG,2016,Maté,0.025
AFG,2016,Meat nes,0.0
AFG,2016,"Meat, buffalo",0.0
AFG,2016,"Meat, camel",0.0
AFG,2016,"Meat, cattle",0.0
AFG,2016,"Meat, chicken",0.0
AFG,2016,"Meat, duck",0.0
AFG,2016,"Meat, game",0.0
AFG,2016,"Meat, goat",0.0
AFG,2016,"Meat, goose and guinea fowl",0.0
AFG,2016,"Meat, pig",0.0
AFG,2016,"Meat, sheep",0.0
AFG,2016,"Meat, turkey",0.0
AFG,2016,"Melons, other (inc.cantaloupes)",0.0
AFG,2016,Melonseed,-2.1710000000000003
AFG,2016,"Milk, whole fresh camel",0.0
AFG,2016,"Milk, whole fresh cow",0.0
AFG,2016,"Milk, whole fresh goat",0.0
AFG,2016,"Milk, whole fresh sheep",0.0
AFG,2016,Millet,0.0
AFG,2016,Mushrooms and truffles,0.0
AFG,2016,Mustard seed,0.0
AFG,2016,"Nutmeg, mace and cardamoms",0.0
AFG,2016,Nuts nes,0.0
AFG,2016,Oats,0.0
AFG,2016,Offals nes,0.0
AFG,2016,"Offals, edible, camels",0.0
AFG,2016,"Offals, edible, cattle",0.0
AFG,2016,"Offals, edible, goats",0.0
AFG,2016,"Offals, liver chicken",0.0
AFG,2016,"Offals, liver geese",0.0
AFG,2016,"Offals, liver turkeys",0.0
AFG,2016,"Offals, sheep,edible",0.0
AFG,2016,Oilseeds nes,-0.909
AFG,2016,Olives,0.0
AFG,2016,"Onions, dry",0.0
AFG,2016,Oranges,0.0
AFG,2016,Papayas,0.0
AFG,2016,Peaches and nectarines,0.0
AFG,2016,Pears,0.0
AFG,2016,"Peas, dry",0.0
AFG,2016,"Peas, green",0.0
AFG,2016,Pepper (piper spp.),0.0
AFG,2016,Persimmons,0.0
AFG,2016,Pigeon peas,0.0
AFG,2016,Pineapples,0.0
AFG,2016,Pistachios,0.0
AFG,2016,Plantains and others,0.0
AFG,2016,Plums and sloes,0.0
AFG,2016,Poppy seed,-0.076
AFG,2016,Potatoes,0.0
AFG,2016,Pulses nes,0.0
AFG,2016,"Pumpkins, squash and gourds",0.0
AFG,2016,Quinces,0.0
AFG,2016,Quinoa,0.0
AFG,2016,Rapeseed,0.0
AFG,2016,Raspberries,0.0
AFG,2016,"Rice, paddy",0.0
AFG,2016,Roots and tubers nes,-0.603
AFG,2016,Rye,0.0
AFG,2016,Safflower seed,0.0
AFG,2016,Sesame seed,0.0
AFG,2016,Sorghum,0.0
AFG,2016,Soybeans,0.0
AFG,2016,Spices nes,0.0
AFG,2016,Spinach,0.0
AFG,2016,Strawberries,0.0
AFG,2016,Sugar beet,0.0
AFG,2016,Sugar cane,0.0
AFG,2016,Sunflower seed,0.0
AFG,2016,Sweet corn frozen,0.0
AFG,2016,Sweet corn prep or preserved,0.0
AFG,2016,Sweet potatoes,0.0
AFG,2016,"Tangerines, mandarins, clementines, satsumas",0.0
AFG,2016,Taro (cocoyam),0.0
AFG,2016,Tea,0.0
AFG,2016,Tomatoes,0.0
AFG,2016,Vanilla,0.0
AFG,2016,"Vegetables, fresh nes",0.0
AFG,2016,"Vegetables, leguminous nes",0.0
AFG,2016,"Walnuts, with shell",0.0
AFG,2016,Watermelons,0.0
AFG,2016,Wheat,0.0
AFG,2016,Yams,-1.223
AFG,2017,"Almonds, with shell",0.0
AFG,2017,"Anise, badian, fennel, coriander",0.0
AFG,2017,Apples,0.0
AFG,2017,Apricots,0.0
AFG,2017,Areca nuts,0.0
AFG,2017,Artichokes,0.0
AFG,2017,Asparagus,0.0
AFG,2017,Avocados,0.0
AFG,2017,Bananas,0.0
AFG,2017,Barley,0.0
AFG,2017,"Beans, dry",0.0
AFG,2017,"Beans, green",0.0
AFG,2017,Berries nes,0.0
AFG,2017,"Brazil nuts, with shell",0.0
AFG,2017,"Broad beans, horse beans, dry",0.0
AFG,2017,Buckwheat,0.0
AFG,2017,Cabbages and other brassicas,0.0
AFG,2017,Canary seed,0.0
AFG,2017,Carrots and turnips,0.0
AFG,2017,"Cashew nuts, with shell",0.0
AFG,2017,Castor oil seed,0.0
AFG,2017,Cauliflowers and broccoli,0.0
AFG,2017,Cereals nes,0.0
AFG,2017,Cherries,0.0
AFG,2017,"Cherries, sour",0.0
AFG,2017,Chestnut,0.0
AFG,2017,Chick peas,-0.494
AFG,2017,Chicory roots,0.0
AFG,2017,"Chillies and peppers, dry",0.0
AFG,2017,"Chillies and peppers, green",0.0
AFG,2017,Cinnamon (cannella),0.0
AFG,2017,Cloves,0.0
AFG,2017,"Cocoa, beans",0.0
AFG,2017,Coconuts,0.0
AFG,2017,"Coffee, green",0.0
AFG,2017,Cucumbers and gherkins,0.0
AFG,2017,Dates,0.0
AFG,2017,Eggplants (aubergines),0.0
AFG,2017,"Eggs, hen, in shell",1.045
AFG,2017,"Eggs, other bird, in shell",0.0
AFG,2017,"Fat, camels",0.0
AFG,2017,"Fat, cattle",0.0
AFG,2017,"Fat, goats",0.0
AFG,2017,"Fat, sheep",0.0
AFG,2017,Figs,0.0
AFG,2017,"Fruit, citrus nes",0.0
AFG,2017,"Fruit, fresh nes",0.0
AFG,2017,"Fruit, stone nes",0.0
AFG,2017,"Fruit, tropical fresh nes",0.0
AFG,2017,Garlic,0.0
AFG,2017,Ginger,0.0
AFG,2017,Grapefruit (inc. pomelos),0.0
AFG,2017,Grapes,0.0
AFG,2017,"Groundnuts, with shell",0.0
AFG,2017,"Hazelnuts, with shell",0.0
AFG,2017,Hempseed,0.0
AFG,2017,"Honey, natural",0.0
AFG,2017,Kiwi fruit,0.0
AFG,2017,"Leeks, other alliaceous vegetables",0.0
AFG,2017,Lemons and limes,0.0
AFG,2017,Lentils,0.0
AFG,2017,Lettuce and chicory,0.0
AFG,2017,Linseed,0.0
AFG,2017,Maize,0.001
AFG,2017,"Maize, green",0.0
AFG,2017,"Mangoes, mangosteens, guavas",0.0
AFG,2017,Meat nes,0.0
AFG,2017,"Meat, buffalo",0.0
AFG,2017,"Meat, camel",0.0
AFG,2017,"Meat, cattle",0.0
AFG,2017,"Meat, chicken",0.0
AFG,2017,"Meat, duck",0.0
AFG,2017,"Meat, game",0.0
AFG,2017,"Meat, goat",0.0
AFG,2017,"Meat, goose and guinea fowl",0.0
AFG,2017,"Meat, pig",0.0
AFG,2017,"Meat, rabbit",0.0
AFG,2017,"Meat, sheep",0.0
AFG,2017,"Meat, turkey",0.0
AFG,2017,"Melons, other (inc.cantaloupes)",0.0
AFG,2017,Melonseed,-3.54
AFG,2017,"Milk, whole fresh camel",0.0
AFG,2017,"Milk, whole fresh cow",0.0
AFG,2017,"Milk, whole fresh goat",0.0
AFG,2017,"Milk, whole fresh sheep",0.0
AFG,2017,Millet,0.0
AFG,2017,Mushrooms and truffles,0.0
AFG,2017,Mustard seed,0.0
AFG,2017,"Nutmeg, mace and cardamoms",0.0
AFG,2017,Nuts nes,0.0
AFG,2017,Oats,0.0
AFG,2017,Offals nes,0.0
AFG,2017,"Offals, edible, camels",0.0
AFG,2017,"Offals, edible, cattle",0.0
AFG,2017,"Offals, edible, goats",0.0
AFG,2017,"Offals, liver chicken",0.0
AFG,2017,"Offals, liver geese",0.0
AFG,2017,"Offals, liver turkeys",0.0
AFG,2017,"Offals, sheep,edible",0.0
AFG,2017,Oilseeds nes,-0.791
AFG,2017,Olives,0.0
AFG,2017,"Onions, dry",0.0
AFG,2017,Oranges,0.0
AFG,2017,Peaches and nectarines,0.0
AFG,2017,Pears,0.0
AFG,2017,"Peas, dry",0.0
AFG,2017,"Peas, green",0.0
AFG,2017,Pepper (piper spp.),0.0
AFG,2017,Persimmons,0.0
AFG,2017,Pigeon peas,0.0
AFG,2017,Pineapples,0.0
AFG,2017,Pistachios,0.0
AFG,2017,Plantains and others,0.0
AFG,2017,Plums and sloes,0.0
AFG,2017,Poppy seed,-0.17
AFG,2017,Potatoes,0.0
AFG,2017,Pulses nes,0.0
AFG,2017,"Pumpkins, squash and gourds",0.0
AFG,2017,Quinces,0.0
AFG,2017,Quinoa,0.0
AFG,2017,Rapeseed,0.0
AFG,2017,Raspberries,0.0
AFG,2017,"Rice, paddy",0.0
AFG,2017,Roots and tubers nes,-0.17300000000000001
AFG,2017,Rye,0.0
AFG,2017,Safflower seed,0.0
AFG,2017,Sesame seed,0.0
AFG,2017,Sorghum,0.0
AFG,2017,Soybeans,0.0
AFG,2017,Spices nes,0.0
AFG,2017,Spinach,0.0
AFG,2017,Strawberries,0.0
AFG,2017,Sugar beet,0.0
AFG,2017,Sugar cane,0.0
AFG,2017,Sunflower seed,0.0
AFG,2017,Sweet corn frozen,0.0
AFG,2017,Sweet corn prep or preserved,0.0
AFG,2017,Sweet potatoes,0.0
AFG,2017,"Tangerines, mandarins, clementines, satsumas",0.0
AFG,2017,Taro (cocoyam),0.0
AFG,2017,Tea,0.0
AFG,2017,Tomatoes,0.0
AFG,2017,Vanilla,0.0
AFG,2017,"Vegetables, fresh nes",0.0
AFG,2017,"Vegetables, leguminous nes",0.0
AFG,2017,"Walnuts, with shell",0.0
AFG,2017,Watermelons,0.0
AFG,2017,Wheat,0.0
AFG,2017,Yams,-0.986
AFG,2018,"Almonds, with shell",0.0
AFG,2018,"Anise, badian, fennel, coriander",0.0
AFG,2018,Apples,0.0
AFG,2018,Apricots,0.0
AFG,2018,Areca nuts,0.0
AFG,2018,Artichokes,0.0
AFG,2018,Asparagus,0.0
AFG,2018,Avocados,0.0
AFG,2018,Bambara beans,0.0
AFG,2018,Bananas,0.0
AFG,2018,Barley,0.0
AFG,2018,"Beans, dry",-5.32
AFG,2018,"Beans, green",0.0
AFG,2018,Berries nes,0.0
AFG,2018,"Brazil nuts, with shell",0.0
AFG,2018,"Broad beans, horse beans, dry",0.0
AFG,2018,Buckwheat,0.0
AFG,2018,Cabbages and other brassicas,0.0
AFG,2018,Canary seed,-0.002
AFG,2018,Carrots and turnips,0.0
AFG,2018,"Cashew nuts, with shell",0.0
AFG,2018,Cassava leaves,0.0
AFG,2018,Castor oil seed,0.0
AFG,2018,Cauliflowers and broccoli,0.0
AFG,2018,Cereals nes,-0.062
AFG,2018,Cherries,0.0
AFG,2018,"Cherries, sour",0.0
AFG,2018,Chestnut,0.0
AFG,2018,Chick peas,0.0
AFG,2018,Chicory roots,0.0
AFG,2018,"Chillies and peppers, dry",0.0
AFG,2018,"Chillies and peppers, green",0.0
AFG,2018,Cinnamon (cannella),0.0
AFG,2018,Cloves,0.0
AFG,2018,"Cocoa, beans",0.0
AFG,2018,Coconuts,0.0
AFG,2018,"Coffee, green",0.0
AFG,2018,"Cow peas, dry",-0.048
AFG,2018,Cucumbers and gherkins,0.0
AFG,2018,Dates,0.0
AFG,2018,Eggplants (aubergines),0.0
AFG,2018,"Eggs, hen, in shell",0.311
AFG,2018,"Eggs, other bird, in shell",0.0
AFG,2018,"Fat, camels",0.0
AFG,2018,"Fat, cattle",0.0
AFG,2018,"Fat, goats",0.0
AFG,2018,"Fat, sheep",0.0
AFG,2018,Figs,0.0
AFG,2018,"Fruit, citrus nes",0.0
AFG,2018,"Fruit, fresh nes",-2.185
AFG,2018,"Fruit, stone nes",0.0
AFG,2018,"Fruit, tropical fresh nes",0.0
AFG,2018,Garlic,0.0
AFG,2018,Ginger,0.0
AFG,2018,Grapefruit (inc. pomelos),0.0
AFG,2018,Grapes,0.0
AFG,2018,"Groundnuts, with shell",0.0
AFG,2018,"Hazelnuts, with shell",0.0
AFG,2018,Hempseed,-0.026000000000000002
AFG,2018,"Honey, natural",0.0
AFG,2018,Kiwi fruit,0.0
AFG,2018,"Leeks, other alliaceous vegetables",0.0
AFG,2018,Lemons and limes,0.0
AFG,2018,Lentils,0.0
AFG,2018,Lettuce and chicory,0.0
AFG,2018,Linseed,0.0
AFG,2018,Maize,0.0
AFG,2018,"Maize, green",0.0
AFG,2018,"Mangoes, mangosteens, guavas",0.0
AFG,2018,Maté,0.0
AFG,2018,Meat nes,0.0
AFG,2018,"Meat, buffalo",0.0
AFG,2018,"Meat, camel",0.0
AFG,2018,"Meat, cattle",0.0
AFG,2018,"Meat, chicken",0.0
AFG,2018,"Meat, duck",0.0
AFG,2018,"Meat, game",0.0
AFG,2018,"Meat, goat",0.0
AFG,2018,"Meat, goose and guinea fowl",0.0
AFG,2018,"Meat, pig",0.0
AFG,2018,"Meat, sheep",0.0
AFG,2018,"Meat, turkey",0.0
AFG,2018,"Melons, other (inc.cantaloupes)",0.0
AFG,2018,Melonseed,-4.283
AFG,2018,"Milk, whole fresh camel",0.0
AFG,2018,"Milk, whole fresh cow",0.0
AFG,2018,"Milk, whole fresh goat",0.0
AFG,2018,"Milk, whole fresh sheep",0.0
AFG,2018,Millet,0.0
AFG,2018,Mushrooms and truffles,0.0
AFG,2018,Mustard seed,0.0
AFG,2018,"Nutmeg, mace and cardamoms",0.0
AFG,2018,Nuts nes,0.0
AFG,2018,Oats,0.0
AFG,2018,Offals nes,0.0
AFG,2018,"Offals, edible, camels",0.0
AFG,2018,"Offals, edible, cattle",0.0
AFG,2018,"Offals, edible, goats",0.0
AFG,2018,"Offals, liver chicken",0.0
AFG,2018,"Offals, liver geese",0.0
AFG,2018,"Offals, liver turkeys",0.0
AFG,2018,"Offals, pigs, edible",0.0
AFG,2018,"Offals, sheep,edible",0.0
