ISO,Year,IGVA
BFA,2008,2110754829.9999
BFA,2009,2351532578.20372
BFA,2010,2634117029.64242
BFA,2011,2963890514.73764
BFA,2012,2912724201.87049
BFA,2013,3048158399.00783
BFA,2014,3364877920.487
BFA,2015,3582425722.40581
BFA,2016,3763143775.45004
BFA,2017,3959629857.38789
BFA,2018,4069038921.94523
BFA,2019,4161574000.34889
BGD,2000,14014160968.9074
BGD,2001,15059852771.8482
BGD,2002,15933777507.8497
BGD,2003,16982490898.5211
BGD,2004,18179632834.9494
BGD,2005,19621708751.0312
BGD,2006,21544224143.7764
BGD,2007,23489199693.2732
BGD,2008,25141320550.0716
BGD,2009,26879383598.07
BGD,2010,28769596138.0853
BGD,2011,31364363465.3962
BGD,2012,34323778956.7347
BGD,2013,37632371200.5429
BGD,2014,40703178048.1745
BGD,2015,44637915543.1616
BGD,2016,49589927086.5442
BGD,2017,54660299597.1626
BGD,2018,61252643993.9156
BGD,2019,69013137914.7622
BGR,2000,8148184762.86285
BGR,2001,8581954215.76456
BGR,2002,9011250972.57638
BGR,2003,9647693846.63218
BGR,2004,10033034448.7449
BGR,2005,10538703517.1394
BGR,2006,11436439592.2814
BGR,2007,12763370786.3989
BGR,2008,13348170907.6483
BGR,2009,12737662726.7139
BGR,2010,11727036686.0701
BGR,2011,12364033202.2531
BGR,2012,12571356712.2425
BGR,2013,12592415945.674
BGR,2014,12918905715.3819
BGR,2015,13356812017.6099
BGR,2016,14025724076.9856
BGR,2017,14512403914.839
BGR,2018,14356459909.3471
BGR,2019,14285712399.7631
BHR,2000,10100984042.5532
BHR,2001,10100984042.5532
BHR,2002,10100984042.5532
BHR,2003,10100984042.5532
BHR,2004,10100984042.5532
BHR,2005,10100984042.5532
BHR,2006,10100984042.5532
BHR,2007,10785930851.0638
BHR,2008,11291436170.2128
BHR,2009,11299920212.766
BHR,2010,11564787234.0426
BHR,2011,11732712765.9574
BHR,2012,11527021276.5957
BHR,2013,12552686170.2128
BHR,2014,13151675531.9149
BHR,2015,13322952127.6596
BHR,2016,13702925531.9149
BHR,2017,13778297872.3404
BHR,2018,13925319148.9362
BHR,2019,14240026595.7447
BHS,2000,706496366.083446
BHS,2001,461795693.135935
BHS,2002,581385464.333782
BHS,2003,881193270.524899
BHS,2004,773687483.176312
BHS,2005,946092597.577389
BHS,2006,847545625.841184
BHS,2007,409917900.403768
BHS,2008,816502288.021534
BHS,2009,771812382.234186
BHS,2010,1161000000.0
BHS,2011,1306424495.28937
BHS,2012,1455599192.46299
BHS,2013,1357989771.19785
BHS,2014,1543728936.74293
BHS,2015,1516123283.98385
BHS,2016,1592794078.06191
BHS,2017,1581855989.23284
BHS,2018,1447161238.22342
BHS,2019,1513935666.21803
BIH,2000,3078547575.02993
BIH,2001,3078547575.02993
BIH,2002,3078547575.02993
BIH,2003,3078547575.02993
BIH,2004,3078547575.02993
BIH,2005,3078547575.02993
BIH,2006,3371133048.55114
BIH,2007,3644181699.23049
BIH,2008,3977190679.11292
BIH,2009,3794781240.0654
BIH,2010,3856875465.56511
BIH,2011,3844455859.26554
BIH,2012,3745537332.98934
BIH,2013,3892836439.09436
BIH,2014,3960100478.74911
BIH,2015,4103294815.84832
BIH,2016,4297297959.59666
BIH,2017,4514020374.97406
BIH,2018,4687846019.52514
BIH,2019,4662999194.9297
BLR,2000,7468440376.88336
BLR,2001,7826905636.56371
BLR,2002,8372547390.89106
BLR,2003,9261511488.79278
BLR,2004,11005430171.8023
BLR,2005,12497157121.6376
BLR,2006,14264549812.7404
BLR,2007,15591181697.6497
BLR,2008,18014543501.2927
BLR,2009,18069261600.2069
BLR,2010,20252769385.6999
BLR,2011,21719778649.8579
BLR,2012,22162242450.7768
BLR,2013,21736609624.1756
BLR,2014,22063087991.7003
BLR,2015,20442360178.1633
BLR,2016,19487661567.3433
BLR,2017,20181164668.1505
BLR,2018,21220838884.8947
BLR,2019,21575703206.5349
BLZ,2000,163870992.202052
BLZ,2001,164779095.179895
BLZ,2002,168361269.862017
BLZ,2003,162559320.117202
BLZ,2004,174562138.632057
BLZ,2005,172986009.18297
BLZ,2006,215746821.794915
BLZ,2007,220569025.747381
BLZ,2008,234983468.24043
BLZ,2009,274233962.154586
BLZ,2010,263165157.459698
BLZ,2011,255767582.691963
BLZ,2012,240371693.970462
BLZ,2013,223435436.030746
BLZ,2014,217838478.914189
BLZ,2015,211146821.58428
BLZ,2016,214803049.719364
BLZ,2017,216834771.444622
BLZ,2018,218838313.365177
BLZ,2019,209588152.52772
BMU,2000,437715000.0
BMU,2001,437715000.0
BMU,2002,437715000.0
BMU,2003,437715000.0
BMU,2004,437715000.0
BMU,2005,437715000.0
BMU,2006,437715000.0
BMU,2007,437715000.0
BMU,2008,437715000.0
BMU,2009,437715000.0
BMU,2010,437715000.0
BMU,2011,374949961.009625
BMU,2012,339916711.746219
BMU,2013,327310397.466117
BMU,2014,315661307.110587
BMU,2015,312426616.283638
BMU,2016,314891324.592418
BMU,2017,328060318.405028
BMU,2018,354014270.084463
BMU,2019,408215880.671774
BOL,2000,3728774162.45028
BOL,2001,3736505098.07707
BOL,2002,3836607512.20675
BOL,2003,3870950160.79464
BOL,2004,4114931188.49686
BOL,2005,4381359175.56833
BOL,2006,4685175267.56726
BOL,2007,5013040470.92341
BOL,2008,5543412741.29511
BOL,2009,5703964044.85937
BOL,2010,5923173414.85314
BOL,2011,6211417336.42846
BOL,2012,6534654024.73255
BOL,2013,7026717873.25841
BOL,2014,7394666647.09605
BOL,2015,7588493479.76258
BOL,2016,7892668030.91443
BOL,2017,8070194676.55638
BOL,2018,8253943363.07532
BOL,2019,8264103931.15873
BRA,2000,380904367496.589
BRA,2001,378541167860.391
BRA,2002,391513174170.077
BRA,2003,390343601296.044
BRA,2004,424848318383.356
BRA,2005,430776302296.498
BRA,2006,437096988119.6
BRA,2007,466593746703.047
BRA,2008,486090966575.716
BRA,2009,466497949636.198
BRA,2010,513959185993.633
BRA,2011,535103925306.958
BRA,2012,531234644668.031
BRA,2013,542743556161.892
BRA,2014,534558708503.865
BRA,2015,503758355218.281
BRA,2016,480758086061.846
BRA,2017,478350786177.467
BRA,2018,481780471059.494
BRA,2019,483547865920.324
BRB,2000,0.0
BRB,2001,0.0
BRB,2002,0.0
BRB,2003,0.0
BRB,2004,0.0
BRB,2005,0.0
BRB,2006,0.0
BRB,2007,0.0
BRB,2008,0.0
BRB,2009,0.0
BRB,2010,0.0
BRB,2011,0.0
BRB,2012,0.0
BRB,2013,0.0
BRB,2014,0.0
BRB,2015,0.0
BRB,2016,0.0
BRB,2017,0.0
BRB,2018,0.0
BRB,2019,0.0
BRN,2000,9959245177.61815
BRN,2001,10042022786.047
BRN,2002,10493347669.2119
BRN,2003,10858697302.0976
BRN,2004,10799353566.8983
BRN,2005,10605998295.1538
BRN,2006,10908964463.7569
BRN,2007,10301029428.8714
BRN,2008,9740568047.25817
BRN,2009,9251921915.51149
BRN,2010,9411074440.77741
BRN,2011,9716780942.31194
BRN,2012,9581993264.15009
BRN,2013,9041941355.88337
BRN,2014,8647435363.93637
BRN,2015,8644512914.23736
BRN,2016,8390145371.51236
BRN,2017,8517211460.09052
BRN,2018,8486225938.69909
BRN,2019,8841952964.4677
BTN,2000,234360154.401783
BTN,2001,264275883.329417
BTN,2002,308573241.079331
BTN,2003,338310861.636309
BTN,2004,345207255.378022
BTN,2005,358246189.454836
BTN,2006,389919436.161896
BTN,2007,548729379.452813
BTN,2008,582841849.66489
BTN,2009,602973146.59466
BTN,2010,678249559.329744
BTN,2011,705777215.863315
BTN,2012,753543195.523941
BTN,2013,782945811.708695
BTN,2014,812010904.742062
BTN,2015,878723940.387722
BTN,2016,939676629.246367
BTN,2017,963612203.227987
BTN,2018,915594096.133577
BTN,2019,933963987.52974
BWA,2000,3724625398.40837
BWA,2001,3739746704.75911
BWA,2002,4216649443.51296
BWA,2003,4294056648.94347
BWA,2004,4244759464.23489
BWA,2005,4484036914.70516
BWA,2006,4833775132.84901
BWA,2007,4930874706.72671
BWA,2008,4935162572.64529
BWA,2009,3601189968.29716
BWA,2010,4073996953.0146
BWA,2011,4133413143.33257
BWA,2012,4145870848.45445
BWA,2013,4803629739.26604
BWA,2014,4792425432.84885
BWA,2015,4363917534.54607
BWA,2016,4413811785.72439
BWA,2017,4303462608.03862
BWA,2018,4541007130.5358
BWA,2019,4549681263.42981
CAF,2000,534453478.586985
CAF,2001,534453478.586985
CAF,2002,534453478.586985
CAF,2003,534453478.586985
CAF,2004,534453478.586985
CAF,2005,534453478.586985
CAF,2006,534453478.586985
CAF,2007,534453478.586985
CAF,2008,534453478.586985
CAF,2009,534453478.586985
CAF,2010,525147560.993633
CAF,2011,591663250.780868
CAF,2012,634558732.800127
CAF,2013,343969460.732491
CAF,2014,292656595.581372
CAF,2015,328603738.111769
CAF,2016,338013318.058962
CAF,2017,343889492.630957
CAF,2018,349125922.390679
CAF,2019,359599700.062399
CAN,2000,403640656598.914
CAN,2001,400791175514.894
CAN,2002,412637453524.244
CAN,2003,416401696425.16
CAN,2004,430148042143.663
CAN,2005,442911696919.59
CAN,2006,447720684690.501
CAN,2007,449965250675.757
CAN,2008,443213239137.307
CAN,2009,399546188440.718
CAN,2010,426188304452.91
CAN,2011,445571769871.518
CAN,2012,455973772652.111
CAN,2013,467750328597.616
CAN,2014,487852532890.954
CAN,2015,482465165704.669
CAN,2016,475599916123.099
CAN,2017,493346450838.256
CAN,2018,509219897294.739
CAN,2019,508323031105.394
CHE,2000,127373846022.364
CHE,2001,132258682269.082
CHE,2002,133869700727.01
CHE,2003,133368866385.588
CHE,2004,133748622261.656
CHE,2005,139655588417.307
CHE,2006,145943063032.296
CHE,2007,151007104485.895
CHE,2008,154997395302.632
CHE,2009,141488802664.558
CHE,2010,150387128156.438
CHE,2011,160047084619.926
CHE,2012,158199427847.778
CHE,2013,161626312820.841
CHE,2014,162812047062.311
CHE,2015,162494214248.601
CHE,2016,166157323909.831
CHE,2017,173049322335.122
CHE,2018,182593469398.632
CHE,2019,186441401131.698
CHL,2000,67088599512.915
CHL,2001,68237118508.8224
CHL,2002,68391810333.1599
CHL,2003,69686611256.9243
CHL,2004,72340962593.3047
CHL,2005,73395090921.717
CHL,2006,76313531316.4262
CHL,2007,76690988685.6111
CHL,2008,77854028192.6676
CHL,2009,75693364797.8137
CHL,2010,78007185465.063
CHL,2011,80242655198.0686
CHL,2012,84088061087.6847
CHL,2013,87716036322.1484
CHL,2014,88139004076.6315
CHL,2015,88946518123.2702
CHL,2016,88728423492.6083
CHL,2017,88262029410.1327
CHL,2018,91686974576.6422
CHL,2019,91503658959.0331
CIV,2000,5596925934.82722
CIV,2001,5596925934.82722
CIV,2002,5596925934.82722
CIV,2003,5596925934.82722
CIV,2004,5596925934.82722
CIV,2005,5596925934.82722
CIV,2006,5596925934.82722
CIV,2007,5596925934.82722
CIV,2008,5596925934.82722
CIV,2009,5814404167.16566
CIV,2010,5581626546.62756
CIV,2011,5154651134.76866
CIV,2012,5080932312.33721
CIV,2013,6546042486.85767
CIV,2014,6840746402.51492
CIV,2015,7408238699.28802
CIV,2016,7802793709.91323
CIV,2017,9005706693.376
CIV,2018,9965043549.13387
CIV,2019,11002441271.4697
CMR,2000,5026132654.16432
CMR,2001,5072817442.63073
CMR,2002,5475752715.27642
CMR,2003,5487871694.72761
CMR,2004,5591446330.10195
CMR,2005,6467393030.4283
CMR,2006,6844079727.72471
CMR,2007,7061348300.78355
CMR,2008,7230461605.27412
CMR,2009,7199628697.02159
CMR,2010,7112286863.45012
CMR,2011,7351643912.16863
CMR,2012,7727330050.08
CMR,2013,8259861702.22956
CMR,2014,8715762733.57394
CMR,2015,9548507207.44831
CMR,2016,9888728626.76513
CMR,2017,10012751608.0961
CMR,2018,10323040072.4431
CMR,2019,10830163336.5802
COD,2000,4771275920.88365
COD,2001,4386296619.96769
COD,2002,4608996232.00125
COD,2003,4720662372.69421
COD,2004,4992077524.8601
COD,2005,5702372243.41695
COD,2006,5850499118.88688
COD,2007,6112127388.63381
COD,2008,6384341409.2276
COD,2009,6484562164.3362
COD,2010,8343593768.72074
COD,2011,9650031245.25443
COD,2012,10514386027.0191
COD,2013,11613243135.2049
COD,2014,13311797761.9939
COD,2015,14098715891.4496
COD,2016,14168575893.6202
COD,2017,15264722627.3204
COD,2018,17114274453.9489
COD,2019,17817170860.4697
COG,2000,6126290938.84638
COG,2001,5934652508.42911
COG,2002,6016058805.20475
COG,2003,5789188797.10478
COG,2004,5907961919.0085
COG,2005,6575226649.05393
COG,2006,7146877014.92014
COG,2007,5984666770.0877
COG,2008,6622538329.86968
COG,2009,7680138438.17943
COG,2010,8693018250.39322
COG,2011,8506552898.87592
COG,2012,9119973795.7211
COG,2013,8789159504.72834
COG,2014,9358074749.91108
COG,2015,8772354265.14453
COG,2016,6849059462.74309
COG,2017,7126418150.4932
COG,2018,6518764283.09748
COG,2019,6537406165.12494
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,60727421660.4508
COL,2001,61216446652.4911
COL,2002,62960154255.1485
COL,2003,66002654293.3076
COL,2004,70096986343.0254
COL,2005,73094316588.1167
COL,2006,78283810258.0744
COL,2007,83037625057.1658
COL,2008,86204289884.1854
COL,2009,87060377391.6709
COL,2010,89898732182.3751
COL,2011,96400034413.134
COL,2012,99326670245.58
COL,2013,104007474237.177
COL,2014,107531080789.726
COL,2015,109782008756.732
COL,2016,111654521231.298
COL,2017,109249459337.359
COL,2018,109565362308.349
COL,2019,110248705290.913
COM,2000,77505161.4304187
COM,2001,79313411.4506473
COM,2002,81154770.2740632
COM,2003,82863693.88473
COM,2004,84455463.268734
COM,2005,86849484.4222761
COM,2006,89149272.8282852
COM,2007,90277518.9676673
COM,2008,95602942.6187913
COM,2009,93787052.1055194
COM,2010,106918512.815799
COM,2011,110231939.965542
COM,2012,111884833.293892
COM,2013,118040523.855713
COM,2014,114734737.199013
COM,2015,114559005.859019
COM,2016,119948100.285503
COM,2017,116767108.348509
COM,2018,118748542.877718
COM,2019,122035963.826606
CPV,2000,195516155.444725
CPV,2001,178200155.91738
CPV,2002,188957455.855444
CPV,2003,191203997.141613
CPV,2004,205104644.795848
CPV,2005,228020058.884406
CPV,2006,245898633.261084
CPV,2007,279933593.632
CPV,2008,331496423.835513
CPV,2009,313535046.104952
CPV,2010,302050877.50484
CPV,2011,305885070.05233
CPV,2012,296054505.663652
CPV,2013,303311897.585161
CPV,2014,323406622.510924
CPV,2015,315573730.444468
CPV,2016,324773738.631216
CPV,2017,363469677.362949
CPV,2018,392729905.910045
CPV,2019,422035025.420818
CRI,2000,6631265039.79156
CRI,2001,6866593431.08239
CRI,2002,7044400250.31137
CRI,2003,7240231463.04928
CRI,2004,7572718866.82174
CRI,2005,7811268765.60951
CRI,2006,8301545362.73849
CRI,2007,8896756471.58348
CRI,2008,9014949003.70623
CRI,2009,8542584207.17848
CRI,2010,8783105629.67654
CRI,2011,9038786748.27398
CRI,2012,9383753112.67975
CRI,2013,9042706267.23619
CRI,2014,9128955045.86173
CRI,2015,9221617304.70481
CRI,2016,9484244890.48893
CRI,2017,9658621494.39309
CRI,2018,9844859726.0755
CRI,2019,9762164918.98864
CUB,2000,11038169009.6163
CUB,2001,10846179270.348
CUB,2002,10894505204.7189
CUB,2003,10898593199.1672
CUB,2004,11260526707.6435
CUB,2005,12135237069.7432
CUB,2006,13762963309.2099
CUB,2007,14242134658.4713
CUB,2008,14821023872.3109
CUB,2009,14922639734.3115
CUB,2010,14727000000.0
CUB,2011,14852559829.4835
CUB,2012,15522698919.4012
CUB,2013,16074578169.9217
CUB,2014,15608838802.419
CUB,2015,16984156934.6684
CUB,2016,16662957370.8734
CUB,2017,17029416873.2031
CUB,2018,17458656290.2746
CUB,2019,17458656290.2746
CYM,2000,424241390.359247
CYM,2001,424241390.359247
CYM,2002,424241390.359247
CYM,2003,424241390.359247
CYM,2004,424241390.359247
CYM,2005,424241390.359247
CYM,2006,424241390.359247
CYM,2007,415418304.096304
CYM,2008,421693481.034165
CYM,2009,343611644.725403
CYM,2010,293704188.167527
CYM,2011,288263618.284597
CYM,2012,292024179.27615
CYM,2013,296923192.014927
CYM,2014,303293022.142271
CYM,2015,312342912.446282
CYM,2016,326524073.735534
CYM,2017,335015248.874249
CYM,2018,353806463.645546
CYM,2019,353806463.645546
CYP,2000,2986624420.89314
CYP,2001,3151520409.50075
CYP,2002,3363959832.74424
CYP,2003,3666903066.49156
CYP,2004,3920465399.75041
CYP,2005,4075247371.77118
CYP,2006,4246787933.86591
CYP,2007,4508528713.62157
CYP,2008,4454676115.93197
CYP,2009,3934107191.68625
CYP,2010,3730111361.52724
CYP,2011,3402691120.53877
CYP,2012,2997003584.06765
CYP,2013,2529003948.02718
CYP,2014,2369267712.01571
CYP,2015,2427605264.23582
CYP,2016,2806314135.41108
CYP,2017,3088919300.15084
CYP,2018,3494971413.18001
CYP,2019,3781679721.36403
CZE,2000,44104160295.5241
CZE,2001,45394314189.0348
CZE,2002,47209891558.6952
CZE,2003,47561295158.5692
CZE,2004,51217749820.0058
CZE,2005,56552385270.3243
CZE,2006,64590085245.8701
CZE,2007,67813456409.0664
CZE,2008,72169496557.3224
CZE,2009,65004975541.69
CZE,2010,69350071341.6151
CZE,2011,72971560942.1501
CZE,2012,70014217986.2198
CZE,2013,68310405628.3031
CZE,2014,70555655270.75
CZE,2015,74030083151.7207
CZE,2016,75506527857.5146
CZE,2017,80509895413.7628
CZE,2018,81617548745.4946
CZE,2019,82928501638.6472
DEU,2000,856506817762.647
DEU,2001,850396970798.779
DEU,2002,831155485767.885
DEU,2003,827980419480.093
DEU,2004,850511799501.728
DEU,2005,853630492218.569
DEU,2006,897240273672.934
DEU,2007,930047414493.686
DEU,2008,918707767843.307
DEU,2009,795013524971.201
DEU,2010,911883455661.153
DEU,2011,957542411521.792
DEU,2012,956667825281.065
DEU,2013,949444551313.009
DEU,2014,991439971974.921
DEU,2015,1004525852432.34
DEU,2016,1045311935103.69
DEU,2017,1080318636994.14
DEU,2018,1089065356514.79
DEU,2019,1061259043665.35
DJI,2000,0.0
DJI,2001,0.0
DJI,2002,0.0
DJI,2003,0.0
DJI,2004,0.0
DJI,2005,0.0
DJI,2006,0.0
DJI,2007,0.0
DJI,2008,0.0
DJI,2009,0.0
DJI,2010,0.0
DJI,2011,0.0
DJI,2012,0.0
DJI,2013,0.0
DJI,2014,0.0
DJI,2015,0.0
DJI,2016,0.0
DJI,2017,0.0
DJI,2018,0.0
DJI,2019,0.0
