ISO,Item,Kc
BGR,cotton,0.9
BGR,forage,0.8
BGR,fruit,0.755142424242424
BGR,maize,1.2
BGR,potatoes,0.952
BGR,pulses,0.634
BGR,rapeseed,0.35
BGR,rice,1.125
BGR,sunflower,0.35
BGR,tobacco,0.0
BGR,vegetables,0.9
BHR,dates,0.0
BHR,forage,0.8
BHR,vegetables,0.9
BHS,bananas,1.0
BHS,fruit,0.755142424242424
BHS,maize,1.2
BHS,rice,1.125
BHS,vegetables,0.9
BLR,fruit,0.755142424242424
BLR,pastures,0.6125
BLR,potatoes,0.952
BLR,pulses,0.634
BLR,vegetables,0.9
BLZ,fruit,0.755142424242424
BLZ,rice,1.125
BLZ,sugarcane,0.8
BLZ,vegetables,0.9
BOL,bananas,1.0
BOL,barley,0.7
BOL,cereals,0.616666666666667
BOL,citrus,0.6
BOL,cocoa,1.03333333333333
BOL,coffee,1.00833333333333
BOL,forage,0.8
BOL,grapes,0.508333333333333
BOL,groundnut,0.875
BOL,maize,1.2
BOL,other permanent crop,0.0
BOL,potatoes,0.952
BOL,pulses,0.634
BOL,rice,1.125
BOL,roots,0.85
BOL,sesame,0.675
BOL,sugarcane,0.8
BOL,vegetables,0.9
BOL,wheat,1.15
BRA,bananas,1.0
BRA,citrus,0.6
BRA,coffee,1.00833333333333
BRA,cotton,0.9
BRA,fruit,0.755142424242424
BRA,maize,1.2
BRA,pastures,0.6125
BRA,potatoes,0.952
BRA,pulses,0.634
BRA,rice,1.125
BRA,soybean,0.825
BRA,sugarcane,0.8
BRA,tobacco,0.0
BRA,vegetables,0.9
BRA,wheat,1.15
BRB,bananas,1.0
BRB,fruit,0.755142424242424
BRB,maize,1.2
BRB,rice,1.125
BRB,vegetables,0.9
BRN,fruit,0.755142424242424
BRN,rice,1.125
BTN,potatoes,0.952
BTN,rice,1.125
BWA,cotton,0.9
BWA,forage,0.8
BWA,fruit,0.755142424242424
BWA,maize,1.2
BWA,vegetables,0.9
CAF,rice,1.125
CAF,vegetables,0.9
CAN,barley,0.7
CAN,forage,0.8
CAN,fruit,0.755142424242424
CAN,maize,1.2
CAN,oil crops,0.616666666666667
CAN,potatoes,0.952
CAN,pulses,0.634
CAN,soybean,0.825
CAN,sugar beet,0.751666666666667
CAN,vegetables,0.9
CAN,wheat,1.15
CHE,cereals,0.616666666666667
CHE,fruit,0.755142424242424
CHE,grapes,0.508333333333333
CHE,maize,1.2
CHE,oil crops,0.616666666666667
CHE,pastures,0.6125
CHE,potatoes,0.952
CHE,sugar beet,0.751666666666667
CHE,vegetables,0.9
CHL,barley,0.7
CHL,cereals,0.616666666666667
CHL,citrus,0.6
CHL,forage,0.8
CHL,fruit,0.755142424242424
CHL,grapes,0.508333333333333
CHL,maize,1.2
CHL,oil crops,0.616666666666667
CHL,pastures,0.6125
CHL,potatoes,0.952
CHL,pulses,0.634
CHL,rice,1.125
CHL,sugar beet,0.751666666666667
CHL,tobacco,0.0
CHL,vegetables,0.9
CHL,wheat,1.15
CIV,bananas,1.0
CIV,rice,1.125
CIV,sugarcane,0.8
CIV,vegetables,0.9
CMR,bananas,1.0
CMR,maize,1.2
CMR,rice,1.125
CMR,vegetables,0.9
COD,rice,1.125
COD,sugarcane,0.8
COD,vegetables,0.9
COG,vegetables,0.9
COL,bananas,1.0
COL,cocoa,1.03333333333333
COL,coffee,1.00833333333333
COL,cotton,0.9
COL,fruit,0.755142424242424
COL,maize,1.2
COL,potatoes,0.952
COL,rice,1.125
COL,sugarcane,0.8
COL,tobacco,0.0
COL,vegetables,0.9
CPV,potatoes,0.952
CPV,sugarcane,0.8
CPV,vegetables,0.9
CRI,forage,0.8
CRI,fruit,0.755142424242424
CRI,other permanent crop,0.0
CRI,rice,1.125
CRI,roots,0.85
CRI,sugarcane,0.8
CRI,temporary crops,0.0
CRI,vegetables,0.9
CUB,bananas,1.0
CUB,citrus,0.6
CUB,forage,0.8
CUB,fruit,0.755142424242424
CUB,leguminous,0.7
CUB,maize,1.2
CUB,other permanent crop,0.0
CUB,potatoes,0.952
CUB,rice,1.125
CUB,roots,0.85
CUB,soybean,0.825
CUB,sugarcane,0.8
CUB,tobacco,0.0
CUB,vegetables,0.9
CYP,barley,0.7
CYP,fruit,0.755142424242424
CYP,pulses,0.634
CYP,roots,0.85
CYP,vegetables,0.9
CZE,fruit,0.755142424242424
CZE,potatoes,0.952
CZE,sugar beet,0.751666666666667
CZE,vegetables,0.9
DEU,barley,0.7
DEU,cereals,0.616666666666667
DEU,fruit,0.755142424242424
DEU,maize,1.2
DEU,pastures,0.6125
DEU,potatoes,0.952
DEU,pulses,0.634
DEU,rapeseed,0.35
DEU,sugar beet,0.751666666666667
DEU,sunflower,0.35
DEU,vegetables,0.9
DJI,fruit,0.755142424242424
DJI,vegetables,0.9
DMA,bananas,1.0
DMA,fruit,0.755142424242424
DMA,maize,1.2
DMA,rice,1.125
DMA,vegetables,0.9
DNK,barley,0.7
DNK,cereals,0.616666666666667
DNK,forage,0.8
DNK,potatoes,0.952
DNK,pulses,0.634
DNK,rapeseed,0.35
DNK,sugar beet,0.751666666666667
DNK,vegetables,0.9
DNK,wheat,1.15
DOM,bananas,1.0
DOM,cereals,0.616666666666667
DOM,fruit,0.755142424242424
DOM,groundnut,0.875
DOM,maize,1.2
DOM,other permanent crop,0.0
DOM,pastures,0.6125
DOM,potatoes,0.952
DOM,rice,1.125
DOM,sugarcane,0.8
DOM,temporary crops,0.0
DOM,vegetables,0.9
DZA,cereals,0.616666666666667
DZA,citrus,0.6
DZA,forage,0.8
DZA,fruit,0.755142424242424
DZA,grapes,0.508333333333333
DZA,industrial crops,0.0
DZA,olive,0.683333333333333
DZA,palm,0.933333333333333
DZA,temporary crops,0.0
DZA,vegetables,0.9
ECU,bananas,1.0
ECU,citrus,0.6
ECU,cocoa,1.03333333333333
ECU,coffee,1.00833333333333
ECU,fruit,0.755142424242424
ECU,maize,1.2
ECU,other permanent crop,0.0
ECU,potatoes,0.952
ECU,pulses,0.634
ECU,rice,1.125
ECU,sugarcane,0.8
ECU,vegetables,0.9
EGY,cereals,0.616666666666667
EGY,citrus,0.6
EGY,cotton,0.9
EGY,dates,0.0
EGY,figs,0.0
EGY,forage,0.8
EGY,fruit,0.755142424242424
EGY,grapes,0.508333333333333
EGY,groundnut,0.875
EGY,maize,1.2
EGY,mangoes,0.0
EGY,oil crops,0.616666666666667
EGY,olive,0.683333333333333
EGY,potatoes,0.952
EGY,pulses,0.634
EGY,rice,1.125
EGY,sesame,0.675
EGY,sugar beet,0.751666666666667
EGY,sugarcane,0.8
EGY,vegetables,0.9
EGY,wheat,1.15
ERI,cotton,0.9
ERI,fruit,0.755142424242424
ERI,potatoes,0.952
ERI,sorghum,0.84
ERI,vegetables,0.9
ESP,barley,0.7
ESP,cereals,0.616666666666667
ESP,citrus,0.6
ESP,cotton,0.9
ESP,flowers,0.0
ESP,forage,0.8
ESP,fruit,0.755142424242424
ESP,grapes,0.508333333333333
ESP,maize,1.2
ESP,olive,0.683333333333333
ESP,other permanent crop,0.0
ESP,pastures,0.6125
ESP,potatoes,0.952
ESP,pulses,0.634
ESP,rice,1.125
ESP,sugar beet,0.751666666666667
ESP,sunflower,0.35
ESP,temporary crops,0.0
ESP,tobacco,0.0
ESP,vegetables,0.9
ESP,wheat,1.15
EST,fruit,0.755142424242424
EST,pastures,0.6125
EST,potatoes,0.952
EST,temporary crops,0.0
EST,vegetables,0.9
ETH,bananas,1.0
ETH,barley,0.7
ETH,citrus,0.6
ETH,cotton,0.9
ETH,fruit,0.755142424242424
ETH,groundnut,0.875
ETH,maize,1.2
ETH,potatoes,0.952
ETH,pulses,0.634
ETH,sorghum,0.84
ETH,sugarcane,0.8
ETH,vegetables,0.9
ETH,wheat,1.15
FIN,cereals,0.616666666666667
FIN,fruit,0.755142424242424
FIN,potatoes,0.952
FIN,sugar beet,0.751666666666667
FIN,vegetables,0.9
FRA,cereals,0.616666666666667
FRA,forage,0.8
FRA,fruit,0.755142424242424
FRA,maize,1.2
FRA,potatoes,0.952
FRA,pulses,0.634
FRA,soybean,0.825
FRA,sugar beet,0.751666666666667
FRA,sunflower,0.35
FRA,vegetables,0.9
FRA,wheat,1.15
GAB,rice,1.125
GAB,vegetables,0.9
GBR,fruit,0.755142424242424
GBR,maize,1.2
GBR,pastures,0.6125
GBR,potatoes,0.952
GBR,sugar beet,0.751666666666667
GBR,vegetables,0.9
GEO,barley,0.7
GEO,citrus,0.6
GEO,forage,0.8
GEO,fruit,0.755142424242424
GEO,maize,1.2
GEO,potatoes,0.952
GEO,pulses,0.634
GEO,sunflower,0.35
GEO,tea,1.06666666666667
GEO,vegetables,0.9
GEO,wheat,1.15
GHA,rice,1.125
GHA,vegetables,0.9
GIN,bananas,1.0
GIN,palm,0.933333333333333
GIN,rice,1.125
GIN,rubber,0.983333333333333
GIN,vegetables,0.9
GMB,rice,1.125
GNB,fruit,0.755142424242424
GNB,rice,1.125
GNB,vegetables,0.9
GRC,cereals,0.616666666666667
GRC,citrus,0.6
GRC,cotton,0.9
GRC,forage,0.8
GRC,fruit,0.755142424242424
GRC,maize,1.2
GRC,olive,0.683333333333333
GRC,potatoes,0.952
GRC,pulses,0.634
GRC,rice,1.125
GRC,sugar beet,0.751666666666667
GRC,tobacco,0.0
GRC,vegetables,0.9
GRC,wheat,1.15
GRD,vegetables,0.9
GTM,bananas,1.0
GTM,citrus,0.6
GTM,coffee,1.00833333333333
GTM,cotton,0.9
GTM,fruit,0.755142424242424
GTM,maize,1.2
GTM,palm,0.933333333333333
GTM,potatoes,0.952
GTM,rice,1.125
GTM,sugarcane,0.8
GTM,vegetables,0.9
GUY,citrus,0.6
GUY,rice,1.125
GUY,sugarcane,0.8
GUY,vegetables,0.9
HND,bananas,1.0
HND,cassava,0.67575
HND,citrus,0.6
HND,cocoa,1.03333333333333
HND,cotton,0.9
HND,maize,1.2
HND,potatoes,0.952
HND,rice,1.125
HND,sorghum,0.84
HND,sugarcane,0.8
HND,sweet potatoes,0.9
HND,tobacco,0.0
HND,vegetables,0.9
HTI,citrus,0.6
HTI,cotton,0.9
HTI,fruit,0.755142424242424
HTI,maize,1.2
HTI,pulses,0.634
HTI,rice,1.125
HTI,sugarcane,0.8
HTI,vegetables,0.9
HUN,fruit,0.755142424242424
HUN,maize,1.2
HUN,pastures,0.6125
HUN,potatoes,0.952
HUN,pulses,0.634
HUN,rapeseed,0.35
HUN,sugar beet,0.751666666666667
HUN,sunflower,0.35
HUN,vegetables,0.9
IDN,groundnut,0.875
IDN,maize,1.2
IDN,potatoes,0.952
IDN,rice,1.125
IDN,soybean,0.825
IDN,sugarcane,0.8
IDN,sweet potatoes,0.9
IDN,tobacco,0.0
IDN,vegetables,0.9
IRL,potatoes,0.952
IRL,strawberry,0.666666666666667
IRL,vegetables,0.9
IRN,bananas,1.0
IRN,barley,0.7
IRN,citrus,0.6
IRN,cotton,0.9
IRN,flowers,0.0
IRN,forage,0.8
IRN,fruit,0.755142424242424
IRN,groundnut,0.875
IRN,maize,1.2
IRN,pulses,0.634
IRN,rice,1.125
IRN,roots,0.85
IRN,soybean,0.825
IRN,sugar beet,0.751666666666667
IRN,sugarcane,0.8
IRN,sunflower,0.35
IRN,sweet potatoes,0.9
IRN,tea,1.06666666666667
IRN,temporary crops,0.0
IRN,tobacco,0.0
IRN,vegetables,0.9
IRN,wheat,1.15
IRQ,barley,0.7
IRQ,cereals,0.616666666666667
IRQ,citrus,0.6
IRQ,cotton,0.9
IRQ,fruit,0.755142424242424
IRQ,maize,1.2
IRQ,oil crops,0.616666666666667
IRQ,potatoes,0.952
IRQ,pulses,0.634
IRQ,rice,1.125
IRQ,vegetables,0.9
IRQ,wheat,1.15
ISR,cereals,0.616666666666667
ISR,citrus,0.6
ISR,cotton,0.9
ISR,flowers,0.0
ISR,fruit,0.755142424242424
ISR,potatoes,0.952
ISR,pulses,0.634
ISR,sunflower,0.35
ISR,vegetables,0.9
ISR,wheat,1.15
ITA,citrus,0.6
ITA,forage,0.8
ITA,fruit,0.755142424242424
ITA,grapes,0.508333333333333
ITA,maize,1.2
ITA,olive,0.683333333333333
ITA,potatoes,0.952
ITA,rice,1.125
ITA,soybean,0.825
ITA,sugar beet,0.751666666666667
ITA,sunflower,0.35
ITA,vegetables,0.9
ITA,wheat,1.15
JAM,bananas,1.0
JAM,citrus,0.6
JAM,sugarcane,0.8
JAM,vegetables,0.9
JOR,bananas,1.0
JOR,barley,0.7
JOR,citrus,0.6
JOR,fruit,0.755142424242424
JOR,olive,0.683333333333333
JOR,potatoes,0.952
JOR,pulses,0.634
JOR,vegetables,0.9
JOR,wheat,1.15
JPN,cereals,0.616666666666667
JPN,cotton,0.9
JPN,pastures,0.6125
JPN,potatoes,0.952
JPN,pulses,0.634
JPN,rice,1.125
JPN,soybean,0.825
JPN,sugar beet,0.751666666666667
JPN,sugarcane,0.8
JPN,vegetables,0.9
JPN,wheat,1.15
KAZ,barley,0.7
KAZ,cotton,0.9
KAZ,forage,0.8
KAZ,fruit,0.755142424242424
KAZ,maize,1.2
KAZ,oil crops,0.616666666666667
KAZ,pastures,0.6125
KAZ,potatoes,0.952
KAZ,rice,1.125
KAZ,sugar beet,0.751666666666667
KAZ,temporary crops,0.0
KAZ,tobacco,0.0
KAZ,vegetables,0.9
KAZ,wheat,1.15
KEN,bananas,1.0
KEN,citrus,0.6
KEN,coffee,1.00833333333333
KEN,cotton,0.9
KEN,flowers,0.0
KEN,maize,1.2
KEN,pineapple,0.433333333333333
KEN,rice,1.125
KEN,sugarcane,0.8
KEN,tea,1.06666666666667
KEN,vegetables,0.9
KGZ,barley,0.7
KGZ,cereals,0.616666666666667
KGZ,cotton,0.9
KGZ,forage,0.8
KGZ,maize,1.2
KGZ,pastures,0.6125
KGZ,potatoes,0.952
KGZ,pulses,0.634
KGZ,rice,1.125
KGZ,sugar beet,0.751666666666667
KGZ,sunflower,0.35
KGZ,temporary crops,0.0
KGZ,tobacco,0.0
KGZ,vegetables,0.9
KGZ,wheat,1.15
KHM,citrus,0.6
KHM,rice,1.125
KHM,sugarcane,0.8
KNA,vegetables,0.9
KOR,citrus,0.6
KOR,forage,0.8
KOR,fruit,0.755142424242424
KOR,maize,1.2
KOR,potatoes,0.952
KOR,rice,1.125
KOR,soybean,0.825
KOR,sweet potatoes,0.9
KOR,tobacco,0.0
KOR,vegetables,0.9
KWT,fruit,0.755142424242424
KWT,potatoes,0.952
KWT,vegetables,0.9
KWT,wheat,1.15
LAO,citrus,0.6
LAO,cotton,0.9
LAO,rice,1.125
LAO,sugarcane,0.8
LAO,vegetables,0.9
LBN,bananas,1.0
LBN,barley,0.7
LBN,citrus,0.6
LBN,flowers,0.0
LBN,forage,0.8
LBN,fruit,0.755142424242424
LBN,groundnut,0.875
LBN,maize,1.2
LBN,potatoes,0.952
LBN,pulses,0.634
LBN,tobacco,0.0
LBN,vegetables,0.9
LBN,wheat,1.15
LBR,vegetables,0.9
LBY,barley,0.7
LBY,citrus,0.6
LBY,forage,0.8
LBY,fruit,0.755142424242424
LBY,groundnut,0.875
LBY,olive,0.683333333333333
LBY,potatoes,0.952
LBY,pulses,0.634
LBY,tobacco,0.0
LBY,vegetables,0.9
LBY,wheat,1.15
LCA,bananas,1.0
LCA,fruit,0.755142424242424
LCA,maize,1.2
LCA,rice,1.125
LCA,vegetables,0.9
LKA,fruit,0.755142424242424
LKA,maize,1.2
LKA,oil crops,0.616666666666667
LKA,pulses,0.634
LKA,rice,1.125
LKA,roots,0.85
LKA,sugarcane,0.8
LKA,vegetables,0.9
LSO,vegetables,0.9
LTU,fruit,0.755142424242424
LTU,pastures,0.6125
LTU,potatoes,0.952
LTU,temporary crops,0.0
LTU,vegetables,0.9
LVA,potatoes,0.952
LVA,vegetables,0.9
MAR,barley,0.7
MAR,citrus,0.6
MAR,forage,0.8
MAR,fruit,0.755142424242424
MAR,maize,1.2
MAR,olive,0.683333333333333
MAR,palm,0.933333333333333
MAR,pulses,0.634
MAR,rice,1.125
MAR,sugar beet,0.751666666666667
MAR,sugarcane,0.8
MAR,temporary crops,0.0
MAR,vegetables,0.9
MAR,wheat,1.15
MDA,cereals,0.616666666666667
MDA,fruit,0.755142424242424
MDA,pastures,0.6125
MDA,potatoes,0.952
MDA,sugar beet,0.751666666666667
MDA,vegetables,0.9
MDG,rice,1.125
MDG,sugarcane,0.8
MEX,cereals,0.616666666666667
MEX,citrus,0.6
MEX,cotton,0.9
MEX,flowers,0.0
MEX,forage,0.8
MEX,fruit,0.755142424242424
MEX,soybean,0.825
MEX,sugarcane,0.8
MEX,temporary crops,0.0
MEX,vegetables,0.9
MKD,cereals,0.616666666666667
MKD,forage,0.8
MKD,fruit,0.755142424242424
MKD,maize,1.2
MKD,oil crops,0.616666666666667
MKD,pastures,0.6125
MKD,tobacco,0.0
MKD,vegetables,0.9
MKD,wheat,1.15
MLI,fruit,0.755142424242424
MLI,maize,1.2
MLI,potatoes,0.952
MLI,pulses,0.634
MLI,rice,1.125
MLI,roots,0.85
MLI,sorghum,0.84
MLI,sugarcane,0.8
MLI,tea,1.06666666666667
MLI,vegetables,0.9
MLI,wheat,1.15
MLT,fruit,0.755142424242424
MLT,potatoes,0.952
MLT,pulses,0.634
MLT,vegetables,0.9
MMR,cotton,0.9
MMR,fruit,0.755142424242424
MMR,maize,1.2
MMR,oil crops,0.616666666666667
MMR,potatoes,0.952
MMR,pulses,0.634
MMR,rice,1.125
MMR,sesame,0.675
MMR,sugarcane,0.8
MMR,tobacco,0.0
MMR,vegetables,0.9
MMR,wheat,1.15
MNE,fruit,0.755142424242424
MNE,grapes,0.508333333333333
MNE,temporary crops,0.0
MNG,forage,0.8
MNG,fruit,0.755142424242424
MNG,potatoes,0.952
MNG,vegetables,0.9
MNG,wheat,1.15
MOZ,rice,1.125
MOZ,sugarcane,0.8
MOZ,temporary crops,0.0
MOZ,vegetables,0.9
MRT,cereals,0.616666666666667
MRT,dates,0.0
MRT,rice,1.125
MRT,vegetables,0.9
MUS,citrus,0.6
MUS,flowers,0.0
MUS,groundnut,0.875
MUS,maize,1.2
MUS,sugarcane,0.8
MUS,tobacco,0.0
MUS,vegetables,0.9
MWI,coffee,1.00833333333333
MWI,maize,1.2
MWI,rice,1.125
MWI,sugarcane,0.8
MWI,tea,1.06666666666667
MWI,vegetables,0.9
MYS,rice,1.125
MYS,tobacco,0.0
MYS,vegetables,0.9
NAM,cotton,0.9
NAM,forage,0.8
NAM,maize,1.2
NAM,palm,0.933333333333333
NAM,vegetables,0.9
NAM,wheat,1.15
NER,cotton,0.9
NER,maize,1.2
NER,millet,0.65
NER,rice,1.125
NER,roots,0.85
NER,sorghum,0.84
NER,sugarcane,0.8
NER,vegetables,0.9
NER,wheat,1.15
NGA,cotton,0.9
NGA,maize,1.2
NGA,potatoes,0.952
NGA,rice,1.125
NGA,sugarcane,0.8
NGA,vegetables,0.9
NGA,wheat,1.15
NIC,bananas,1.0
NIC,groundnut,0.875
NIC,maize,1.2
NIC,rice,1.125
NIC,sorghum,0.84
NIC,sugarcane,0.8
NIC,temporary crops,0.0
NIC,tobacco,0.0
NLD,fruit,0.755142424242424
NLD,maize,1.2
NLD,pastures,0.6125
NLD,potatoes,0.952
NLD,sugar beet,0.751666666666667
NLD,vegetables,0.9
NOR,barley,0.7
NOR,cereals,0.616666666666667
NOR,fruit,0.755142424242424
NOR,potatoes,0.952
NOR,rapeseed,0.35
NOR,vegetables,0.9
NPL,forage,0.8
NPL,maize,1.2
NPL,rapeseed,0.35
NPL,rice,1.125
NPL,sugarcane,0.8
NPL,vegetables,0.9
NPL,wheat,1.15
NZL,cereals,0.616666666666667
NZL,flowers,0.0
NZL,forage,0.8
NZL,fruit,0.755142424242424
NZL,grapes,0.508333333333333
NZL,pastures,0.6125
NZL,vegetables,0.9
NZL,wheat,1.15
OMN,bananas,1.0
OMN,barley,0.7
OMN,cereals,0.616666666666667
OMN,citrus,0.6
OMN,coconut,0.0
OMN,dates,0.0
OMN,forage,0.8
OMN,other permanent crop,0.0
OMN,potatoes,0.952
OMN,sorghum,0.84
OMN,sugarcane,0.8
OMN,vegetables,0.9
OMN,wheat,1.15
PAK,bananas,1.0
PAK,barley,0.7
PAK,citrus,0.6
PAK,cotton,0.9
PAK,forage,0.8
PAK,fruit,0.755142424242424
PAK,groundnut,0.875
PAK,maize,1.2
PAK,millet,0.65
PAK,potatoes,0.952
PAK,pulses,0.634
PAK,rapeseed,0.35
PAK,rice,1.125
PAK,sesame,0.675
PAK,sorghum,0.84
PAK,sugarcane,0.8
PAK,sunflower,0.35
PAK,temporary crops,0.0
PAK,tobacco,0.0
PAK,vegetables,0.9
PAK,wheat,1.15
PAN,bananas,1.0
PAN,melon,0.9
PAN,other permanent crop,0.0
PAN,pastures,0.6125
PAN,rice,1.125
PAN,sugarcane,0.8
PAN,temporary crops,0.0
PAN,vegetables,0.9
PER,bananas,1.0
PER,barley,0.7
PER,cereals,0.616666666666667
PER,citrus,0.6
PER,coffee,1.00833333333333
PER,cotton,0.9
PER,forage,0.8
PER,fruit,0.755142424242424
PER,grapes,0.508333333333333
PER,maize,1.2
PER,potatoes,0.952
PER,pulses,0.634
PER,rice,1.125
PER,roots,0.85
PER,sugarcane,0.8
PER,temporary crops,0.0
PER,vegetables,0.9
PHL,bananas,1.0
PHL,citrus,0.6
PHL,fruit,0.755142424242424
PHL,groundnut,0.875
PHL,maize,1.2
PHL,rice,1.125
PHL,sugarcane,0.8
PHL,tobacco,0.0
PHL,vegetables,0.9
POL,forage,0.8
POL,fruit,0.755142424242424
POL,maize,1.2
POL,pastures,0.6125
POL,potatoes,0.952
POL,sugar beet,0.751666666666667
POL,vegetables,0.9
PRI,fruit,0.755142424242424
PRI,rice,1.125
PRI,sugarcane,0.8
PRI,vegetables,0.9
PRK,fruit,0.755142424242424
PRK,maize,1.2
PRK,potatoes,0.952
PRK,pulses,0.634
PRK,rice,1.125
PRK,soybean,0.825
PRK,sweet potatoes,0.9
PRK,tobacco,0.0
PRK,vegetables,0.9
PRK,wheat,1.15
PRT,cereals,0.616666666666667
PRT,citrus,0.6
PRT,fruit,0.755142424242424
PRT,maize,1.2
PRT,olive,0.683333333333333
PRT,pastures,0.6125
PRT,potatoes,0.952
PRT,pulses,0.634
PRT,rice,1.125
PRT,sugar beet,0.751666666666667
PRT,sunflower,0.35
PRT,vegetables,0.9
PRT,wheat,1.15
PRY,other permanent crop,0.0
PRY,rice,1.125
PRY,sugarcane,0.8
PRY,vegetables,0.9
PSE,bananas,1.0
PSE,citrus,0.6
PSE,fruit,0.755142424242424
PSE,vegetables,0.9
QAT,barley,0.7
QAT,cereals,0.616666666666667
QAT,forage,0.8
QAT,fruit,0.755142424242424
QAT,vegetables,0.9
ROU,forage,0.8
ROU,fruit,0.755142424242424
ROU,maize,1.2
ROU,potatoes,0.952
ROU,pulses,0.634
ROU,rapeseed,0.35
ROU,soybean,0.825
ROU,sunflower,0.35
ROU,vegetables,0.9
RUS,barley,0.7
RUS,cereals,0.616666666666667
RUS,forage,0.8
RUS,fruit,0.755142424242424
RUS,maize,1.2
RUS,pastures,0.6125
RUS,potatoes,0.952
RUS,pulses,0.634
RUS,rice,1.125
RUS,sugar beet,0.751666666666667
RUS,vegetables,0.9
RUS,wheat,1.15
RWA,rice,1.125
RWA,vegetables,0.9
SAU,barley,0.7
SAU,cereals,0.616666666666667
SAU,citrus,0.6
SAU,forage,0.8
SAU,fruit,0.755142424242424
SAU,potatoes,0.952
SAU,sesame,0.675
SAU,sorghum,0.84
SAU,vegetables,0.9
SAU,wheat,1.15
SDN,cotton,0.9
SDN,forage,0.8
SDN,groundnut,0.875
SDN,maize,1.2
SDN,millet,0.65
SDN,potatoes,0.952
SDN,roots,0.85
SDN,sorghum,0.84
SDN,sugarcane,0.8
SDN,sunflower,0.35
SDN,vegetables,0.9
SDN,wheat,1.15
SEN,potatoes,0.952
SEN,rice,1.125
SEN,sugarcane,0.8
SEN,vegetables,0.9
SLE,sugarcane,0.8
SLE,vegetables,0.9
SLV,cereals,0.616666666666667
SLV,fruit,0.755142424242424
SLV,other permanent crop,0.0
SLV,pastures,0.6125
SLV,rice,1.125
SLV,sugarcane,0.8
SLV,temporary crops,0.0
SLV,vegetables,0.9
SOM,cereals,0.616666666666667
SOM,citrus,0.6
SOM,cotton,0.9
SOM,fruit,0.755142424242424
SOM,maize,1.2
SOM,sorghum,0.84
