ISO,Year,EW1
BHS,2008,0.0
BHS,2009,0.0
BHS,2010,0.0
BHS,2011,0.0
BHS,2012,0.0
BHS,2013,0.0
BHS,2014,0.0
BHS,2015,0.0
BHS,2016,0.0
BHS,2017,0.0
BHS,2018,0.0
BHS,2019,0.0
BIH,2000,0.0
BIH,2001,0.0
BIH,2002,0.0
BIH,2003,0.0
BIH,2004,0.0
BIH,2005,0.0
BIH,2006,0.0
BIH,2007,0.0
BIH,2008,0.0
BIH,2009,0.0
BIH,2010,0.0
BIH,2011,0.0
BIH,2012,0.0
BIH,2013,0.0
BIH,2014,0.0
BIH,2015,0.0
BIH,2016,0.0
BIH,2017,0.0
BIH,2018,0.0
BIH,2019,0.0
BLR,2000,29.35
BLR,2001,29.35
BLR,2002,29.35
BLR,2003,29.35
BLR,2004,29.35
BLR,2005,29.35
BLR,2006,29.35
BLR,2007,29.35
BLR,2008,29.35
BLR,2009,29.35
BLR,2010,29.35
BLR,2011,29.35
BLR,2012,29.84
BLR,2013,31.01
BLR,2014,30.3
BLR,2015,31.4
BLR,2016,30.16
BLR,2017,32.03
BLR,2018,33.15
BLR,2019,33.15
BLZ,2000,7.86
BLZ,2001,8.42
BLZ,2002,8.93
BLZ,2003,9.67
BLZ,2004,10.14
BLZ,2005,10.55
BLZ,2006,11.1
BLZ,2007,11.42
BLZ,2008,11.82
BLZ,2009,12.05
BLZ,2010,12.27
BLZ,2011,12.46
BLZ,2012,12.65
BLZ,2013,12.55
BLZ,2014,12.95
BLZ,2015,12.79
BLZ,2016,13.12
BLZ,2017,13.28
BLZ,2018,13.85
BLZ,2019,13.85
BMU,2000,0.0
BMU,2001,0.0
BMU,2002,0.0
BMU,2003,0.0
BMU,2004,0.0
BMU,2005,0.0
BMU,2006,0.0
BMU,2007,0.0
BMU,2008,0.0
BMU,2009,0.0
BMU,2010,0.0
BMU,2011,0.0
BMU,2012,0.0
BMU,2013,0.0
BMU,2014,0.0
BMU,2015,0.0
BMU,2016,0.0
BMU,2017,0.0
BMU,2018,0.0
BMU,2019,0.0
BOL,2000,8.04
BOL,2001,8.04
BOL,2002,8.04
BOL,2003,8.04
BOL,2004,8.04
BOL,2005,8.04
BOL,2006,8.04
BOL,2007,8.04
BOL,2008,8.04
BOL,2009,8.6
BOL,2010,9.07
BOL,2011,9.23
BOL,2012,9.49
BOL,2013,9.98
BOL,2014,10.58
BOL,2015,11.43
BOL,2016,12.59
BOL,2017,13.13
BOL,2018,13.71
BOL,2019,13.71
BRA,2000,17.36
BRA,2001,17.35
BRA,2002,17.69
BRA,2003,17.67
BRA,2004,18.53
BRA,2005,19.21
BRA,2006,19.98
BRA,2007,19.81
BRA,2008,19.26
BRA,2009,18.36
BRA,2010,18.56
BRA,2011,19.97
BRA,2012,21.1
BRA,2013,22.57
BRA,2014,23.67
BRA,2015,23.21
BRA,2016,22.56
BRA,2017,22.01
BRA,2018,22.62
BRA,2019,22.62
BRB,2000,44.82
BRB,2001,44.82
BRB,2002,44.82
BRB,2003,44.82
BRB,2004,44.82
BRB,2005,44.82
BRB,2006,50.29
BRB,2007,50.22
BRB,2008,50.79
BRB,2009,49.81
BRB,2010,49.2
BRB,2011,48.99
BRB,2012,48.72
BRB,2013,49.86
BRB,2014,49.79
BRB,2015,51.46
BRB,2016,52.3
BRB,2017,52.1
BRB,2018,52.43
BRB,2019,52.43
BRN,2000,0.0
BRN,2001,0.0
BRN,2002,0.0
BRN,2003,0.0
BRN,2004,0.0
BRN,2005,0.0
BRN,2006,0.0
BRN,2007,0.0
BRN,2008,0.0
BRN,2009,0.0
BRN,2010,0.0
BRN,2011,0.0
BRN,2012,0.0
BRN,2013,0.0
BRN,2014,0.0
BRN,2015,0.0
BRN,2016,0.0
BRN,2017,0.0
BRN,2018,0.0
BRN,2019,0.0
BTN,2000,3.37
BTN,2001,3.37
BTN,2002,3.37
BTN,2003,3.37
BTN,2004,3.37
BTN,2005,3.37
BTN,2006,3.37
BTN,2007,3.37
BTN,2008,3.37
BTN,2009,3.6
BTN,2010,4.01
BTN,2011,4.31
BTN,2012,4.47
BTN,2013,4.6
BTN,2014,4.83
BTN,2015,5.22
BTN,2016,5.65
BTN,2017,5.88
BTN,2018,6.26
BTN,2019,6.26
BWA,2000,35.03
BWA,2001,35.08
BWA,2002,37.44
BWA,2003,37.8
BWA,2004,37.53
BWA,2005,39.46
BWA,2006,43.33
BWA,2007,46.54
BWA,2008,49.18
BWA,2009,44.83
BWA,2010,50.03
BWA,2011,53.92
BWA,2012,56.92
BWA,2013,64.98
BWA,2014,69.37
BWA,2015,67.7
BWA,2016,66.58
BWA,2017,71.37
BWA,2018,74.45
BWA,2019,74.45
CAF,2000,17.65
CAF,2001,16.87
CAF,2002,16.24
CAF,2003,13.56
CAF,2004,13.96
CAF,2005,14.25
CAF,2006,15.16
CAF,2007,15.93
CAF,2008,16.5
CAF,2009,17.11
CAF,2010,17.66
CAF,2011,17.74
CAF,2012,18.53
CAF,2013,14.02
CAF,2014,15.22
CAF,2015,15.24
CAF,2016,15.76
CAF,2017,16.83
CAF,2018,17.35
CAF,2019,17.35
CAN,2000,30.03
CAN,2001,30.03
CAN,2002,30.03
CAN,2003,30.03
CAN,2004,30.03
CAN,2005,30.03
CAN,2006,30.03
CAN,2007,30.63
CAN,2008,31.99
CAN,2009,32.03
CAN,2010,31.6
CAN,2011,33.3
CAN,2012,34.7
CAN,2013,36.61
CAN,2014,38.56
CAN,2015,39.84
CAN,2016,40.23
CAN,2017,41.69
CAN,2018,42.39
CAN,2019,42.39
CHE,2000,308.02
CHE,2001,308.02
CHE,2002,308.02
CHE,2003,308.02
CHE,2004,308.02
CHE,2005,308.02
CHE,2006,308.02
CHE,2007,308.02
CHE,2008,308.02
CHE,2009,308.02
CHE,2010,308.02
CHE,2011,308.02
CHE,2012,308.02
CHE,2013,365.93
CHE,2014,377.96
CHE,2015,344.9
CHE,2016,341.18
CHE,2017,338.12
CHE,2018,339.72
CHE,2019,339.72
CHL,2000,4.81
CHL,2001,4.81
CHL,2002,4.81
CHL,2003,4.81
CHL,2004,4.81
CHL,2005,4.81
CHL,2006,4.81
CHL,2007,4.81
CHL,2008,4.94
CHL,2009,4.9
CHL,2010,5.18
CHL,2011,5.49
CHL,2012,5.77
CHL,2013,6.01
CHL,2014,6.1
CHL,2015,2.35
CHL,2016,2.24
CHL,2017,2.27
CHL,2018,2.37
CHL,2019,2.37
CIV,2000,11.24
CIV,2001,10.04
CIV,2002,9.32
CIV,2003,8.75
CIV,2004,9.22
CIV,2005,9.95
CIV,2006,10.4
CIV,2007,10.89
CIV,2008,11.57
CIV,2009,12.5
CIV,2010,12.75
CIV,2011,12.53
CIV,2012,14.54
CIV,2013,16.66
CIV,2014,18.63
CIV,2015,19.67
CIV,2016,21.25
CIV,2017,23.17
CIV,2018,25.46
CIV,2019,25.46
CMR,2000,12.99
CMR,2001,13.24
CMR,2002,13.51
CMR,2003,13.97
CMR,2004,14.87
CMR,2005,14.69
CMR,2006,15.28
CMR,2007,15.86
CMR,2008,16.86
CMR,2009,17.05
CMR,2010,17.56
CMR,2011,18.51
CMR,2012,19.31
CMR,2013,20.35
CMR,2014,21.25
CMR,2015,21.97
CMR,2016,23.04
CMR,2017,23.86
CMR,2018,24.82
CMR,2019,24.82
COD,2000,19.01
COD,2001,17.31
COD,2002,18.94
COD,2003,19.4
COD,2004,20.44
COD,2005,21.94
COD,2006,22.81
COD,2007,24.08
COD,2008,24.95
COD,2009,25.46
COD,2010,28.3
COD,2011,30.24
COD,2012,32.1
COD,2013,34.91
COD,2014,38.76
COD,2015,41.51
COD,2016,42.12
COD,2017,44.61
COD,2018,47.85
COD,2019,47.85
COG,2000,125.47
COG,2001,135.69
COG,2002,144.08
COG,2003,112.03
COG,2004,89.62
COG,2005,77.32
COG,2006,85.32
COG,2007,79.56
COG,2008,84.9
COG,2009,91.93
COG,2010,108.44
COG,2011,110.02
COG,2012,120.97
COG,2013,115.39
COG,2014,126.54
COG,2015,105.09
COG,2016,102.26
COG,2017,97.2
COG,2018,97.52
COG,2019,97.52
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,17.2
COL,2001,16.43
COL,2002,15.83
COL,2003,15.53
COL,2004,15.54
COL,2005,15.47
COL,2006,15.74
COL,2007,16.06
COL,2008,16.08
COL,2009,16.18
COL,2010,16.46
COL,2011,17.22
COL,2012,17.72
COL,2013,18.41
COL,2014,18.75
COL,2015,18.88
COL,2016,18.92
COL,2017,18.84
COL,2018,19.3
COL,2019,19.3
COM,2000,41.61
COM,2001,42.49
COM,2002,43.85
COM,2003,44.71
COM,2004,45.48
COM,2005,46.41
COM,2006,47.68
COM,2007,44.11
COM,2008,48.35
COM,2009,48.19
COM,2010,50.06
COM,2011,53.25
COM,2012,56.77
COM,2013,61.29
COM,2014,63.91
COM,2015,65.74
COM,2016,69.41
COM,2017,69.46
COM,2018,72.69
COM,2019,72.69
CPV,2000,33.07
CPV,2001,33.07
CPV,2002,31.82
CPV,2003,33.02
CPV,2004,33.09
CPV,2005,34.89
CPV,2006,37.1
CPV,2007,40.33
CPV,2008,43.33
CPV,2009,43.3
CPV,2010,43.85
CPV,2011,45.04
CPV,2012,45.99
CPV,2013,46.45
CPV,2014,47.11
CPV,2015,46.83
CPV,2016,49.18
CPV,2017,51.27
CPV,2018,54.04
CPV,2019,54.04
CRI,2000,18.65
CRI,2001,18.65
CRI,2002,18.65
CRI,2003,18.65
CRI,2004,18.65
CRI,2005,18.65
CRI,2006,18.65
CRI,2007,18.65
CRI,2008,18.65
CRI,2009,18.65
CRI,2010,18.65
CRI,2011,18.65
CRI,2012,18.65
CRI,2013,18.14
CRI,2014,17.0
CRI,2015,15.16
CRI,2016,17.18
CRI,2017,19.58
CRI,2018,22.44
CRI,2019,22.44
CUB,2000,8.58
CUB,2001,8.58
CUB,2002,8.58
CUB,2003,8.91
CUB,2004,9.44
CUB,2005,10.58
CUB,2006,11.95
CUB,2007,13.56
CUB,2008,12.13
CUB,2009,11.72
CUB,2010,12.12
CUB,2011,11.84
CUB,2012,11.62
CUB,2013,11.39
CUB,2014,11.53
CUB,2015,12.05
CUB,2016,12.1
CUB,2017,12.33
CUB,2018,12.6
CUB,2019,12.6
CYM,2000,0.0
CYM,2001,0.0
CYM,2002,0.0
CYM,2003,0.0
CYM,2004,0.0
CYM,2005,0.0
CYM,2006,0.0
CYM,2007,0.0
CYM,2008,0.0
CYM,2009,0.0
CYM,2010,0.0
CYM,2011,0.0
CYM,2012,0.0
CYM,2013,0.0
CYM,2014,0.0
CYM,2015,0.0
CYM,2016,0.0
CYM,2017,0.0
CYM,2018,0.0
CYM,2019,0.0
CYP,2000,70.4
CYP,2001,74.58
CYP,2002,68.96
CYP,2003,62.71
CYP,2004,58.75
CYP,2005,70.7
CYP,2006,76.22
CYP,2007,81.16
CYP,2008,112.12
CYP,2009,99.19
CYP,2010,90.5
CYP,2011,84.08
CYP,2012,71.48
CYP,2013,67.17
CYP,2014,60.09
CYP,2015,56.86
CYP,2016,57.32
CYP,2017,60.42
CYP,2018,64.36
CYP,2019,64.36
CZE,2000,56.19
CZE,2001,56.19
CZE,2002,56.19
CZE,2003,56.19
CZE,2004,59.87
CZE,2005,65.43
CZE,2006,72.26
CZE,2007,77.3
CZE,2008,82.83
CZE,2009,80.34
CZE,2010,83.8
CZE,2011,87.4
CZE,2012,82.66
CZE,2013,91.41
CZE,2014,94.83
CZE,2015,102.31
CZE,2016,102.86
CZE,2017,107.45
CZE,2018,113.71
CZE,2019,113.71
DEU,2000,83.17
DEU,2001,83.17
DEU,2002,83.17
DEU,2003,83.17
DEU,2004,83.17
DEU,2005,83.17
DEU,2006,83.17
DEU,2007,86.35
DEU,2008,92.57
DEU,2009,90.61
DEU,2010,84.16
DEU,2011,105.27
DEU,2012,109.67
DEU,2013,114.68
DEU,2014,118.21
DEU,2015,109.1
DEU,2016,107.32
DEU,2017,109.83
DEU,2018,111.6
DEU,2019,111.6
DJI,2000,0.0
DJI,2001,0.0
DJI,2002,0.0
DJI,2003,0.0
DJI,2004,0.0
DJI,2005,0.0
DJI,2006,0.0
DJI,2007,0.0
DJI,2008,0.0
DJI,2009,0.0
DJI,2010,0.0
DJI,2011,0.0
DJI,2012,0.0
DJI,2013,0.0
DJI,2014,0.0
DJI,2015,0.0
DJI,2016,0.0
DJI,2017,0.0
DJI,2018,0.0
DJI,2019,0.0
DMA,2000,0.0
DMA,2001,0.0
DMA,2002,0.0
DMA,2003,0.0
DMA,2004,0.0
DMA,2005,0.0
DMA,2006,0.0
DMA,2007,0.0
DMA,2008,0.0
DMA,2009,0.0
DMA,2010,0.0
DMA,2011,0.0
DMA,2012,0.0
DMA,2013,0.0
DMA,2014,0.0
DMA,2015,0.0
DMA,2016,0.0
DMA,2017,0.0
DMA,2018,0.0
DMA,2019,0.0
DNK,2000,342.95
DNK,2001,342.95
DNK,2002,342.95
DNK,2003,342.95
DNK,2004,342.77
DNK,2005,366.89
DNK,2006,351.4
DNK,2007,432.14
DNK,2008,361.81
DNK,2009,367.27
DNK,2010,337.64
DNK,2011,329.97
DNK,2012,342.03
DNK,2013,299.89
DNK,2014,310.9
DNK,2015,320.35
DNK,2016,362.47
DNK,2017,301.67
DNK,2018,262.21
DNK,2019,262.21
DOM,2000,5.88
DOM,2001,5.83
DOM,2002,6.1
DOM,2003,6.09
DOM,2004,6.06
DOM,2005,6.42
DOM,2006,6.73
DOM,2007,6.8
DOM,2008,6.75
DOM,2009,6.48
DOM,2010,6.71
DOM,2011,6.62
DOM,2012,6.49
DOM,2013,6.47
DOM,2014,6.66
DOM,2015,6.74
DOM,2016,7.16
DOM,2017,7.5
DOM,2018,8.01
DOM,2019,8.01
DZA,2000,14.91
DZA,2001,14.91
DZA,2002,15.0
DZA,2003,15.49
DZA,2004,15.69
DZA,2005,16.45
DZA,2006,16.45
DZA,2007,16.67
DZA,2008,16.68
DZA,2009,15.96
DZA,2010,16.2
DZA,2011,16.24
DZA,2012,16.03
DZA,2013,15.55
DZA,2014,15.52
DZA,2015,15.23
DZA,2016,15.01
DZA,2017,14.35
DZA,2018,14.63
DZA,2019,14.63
ECU,2000,4.79
ECU,2001,4.92
ECU,2002,5.12
ECU,2003,5.29
ECU,2004,5.73
ECU,2005,6.05
ECU,2006,6.37
ECU,2007,6.51
ECU,2008,7.04
ECU,2009,6.87
ECU,2010,7.22
ECU,2011,7.88
ECU,2012,8.27
ECU,2013,8.64
ECU,2014,8.98
ECU,2015,8.88
ECU,2016,8.78
ECU,2017,9.03
ECU,2018,9.18
ECU,2019,9.18
EGY,2000,2.37
EGY,2001,2.43
EGY,2002,2.45
EGY,2003,2.49
EGY,2004,2.57
EGY,2005,2.68
EGY,2006,2.8
EGY,2007,3.0
EGY,2008,3.17
EGY,2009,3.28
EGY,2010,3.4
EGY,2011,3.78
EGY,2012,4.1
EGY,2013,4.2
EGY,2014,4.28
EGY,2015,4.35
EGY,2016,4.44
EGY,2017,4.38
EGY,2018,4.58
EGY,2019,4.58
ERI,2000,7.12
ERI,2001,5.4
ERI,2002,5.6
ERI,2003,5.42
ERI,2004,4.96
ERI,2005,4.4
ERI,2006,4.29
ERI,2007,4.46
ERI,2008,4.48
ERI,2009,4.85
ERI,2010,4.66
ERI,2011,5.21
ERI,2012,5.64
ERI,2013,5.76
ERI,2014,6.12
ERI,2015,6.45
ERI,2016,6.67
ERI,2017,6.87
ERI,2018,7.22
ERI,2019,7.22
ESP,2000,23.38
ESP,2001,24.63
ESP,2002,25.61
ESP,2003,25.97
ESP,2004,26.93
ESP,2005,26.44
ESP,2006,28.91
ESP,2007,30.76
ESP,2008,32.07
ESP,2009,30.59
ESP,2010,30.84
ESP,2011,30.8
ESP,2012,28.54
ESP,2013,31.57
ESP,2014,31.45
ESP,2015,33.69
ESP,2016,34.99
ESP,2017,35.97
ESP,2018,36.76
ESP,2019,36.76
EST,2000,7.8
EST,2001,8.17
EST,2002,9.27
EST,2003,9.08
EST,2004,9.35
EST,2005,10.56
EST,2006,11.5
EST,2007,10.56
EST,2008,11.68
EST,2009,11.33
EST,2010,8.67
EST,2011,9.13
EST,2012,10.93
EST,2013,10.45
EST,2014,10.84
EST,2015,12.25
EST,2016,11.36
EST,2017,11.82
EST,2018,13.75
EST,2019,13.75
ETH,2000,1.86
ETH,2001,1.86
ETH,2002,1.86
ETH,2003,1.64
ETH,2004,1.57
ETH,2005,1.52
ETH,2006,1.62
ETH,2007,1.76
ETH,2008,1.8
ETH,2009,1.93
ETH,2010,2.2
ETH,2011,2.46
ETH,2012,2.45
ETH,2013,2.79
ETH,2014,3.16
ETH,2015,3.56
ETH,2016,3.84
ETH,2017,4.32
ETH,2018,4.87
ETH,2019,4.87
FIN,2000,99.85
FIN,2001,99.85
FIN,2002,99.85
FIN,2003,99.85
FIN,2004,99.85
FIN,2005,99.85
FIN,2006,99.85
FIN,2007,99.85
FIN,2008,99.85
FIN,2009,99.85
FIN,2010,99.85
FIN,2011,103.19
FIN,2012,103.01
FIN,2013,103.09
FIN,2014,105.12
FIN,2015,108.94
FIN,2016,108.13
FIN,2017,111.8
FIN,2018,113.34
FIN,2019,113.34
FJI,2000,32.01
FJI,2001,32.01
FJI,2002,32.01
FJI,2003,32.01
FJI,2004,33.49
FJI,2005,33.71
FJI,2006,34.28
FJI,2007,33.34
FJI,2008,33.73
FJI,2009,34.08
FJI,2010,34.66
FJI,2011,33.45
FJI,2012,33.55
FJI,2013,34.43
FJI,2014,36.58
FJI,2015,38.42
FJI,2016,39.29
FJI,2017,40.95
FJI,2018,43.05
FJI,2019,43.05
FRA,2000,55.4
FRA,2001,55.4
FRA,2002,55.4
FRA,2003,55.4
FRA,2004,56.87
FRA,2005,57.89
FRA,2006,60.66
FRA,2007,65.54
FRA,2008,71.28
FRA,2009,71.08
FRA,2010,72.01
FRA,2011,69.44
FRA,2012,74.91
FRA,2013,77.92
FRA,2014,78.11
FRA,2015,76.38
FRA,2016,73.94
FRA,2017,81.85
FRA,2018,83.01
FRA,2019,83.01
FRO,2000,0.0
FRO,2001,0.0
FRO,2002,0.0
FRO,2003,0.0
FRO,2004,0.0
FRO,2005,0.0
FRO,2006,0.0
FRO,2007,0.0
FRO,2008,0.0
FRO,2009,0.0
FRO,2010,0.0
FRO,2011,0.0
FRO,2012,0.0
FRO,2013,0.0
FRO,2014,0.0
FRO,2015,0.0
FRO,2016,0.0
FRO,2017,0.0
FRO,2018,0.0
FRO,2019,0.0
FSM,2000,0.0
